# source target weight delay
2 964 5.233720734274272246e+01 1.000000000000000056e-01
2 836 5.233720734274272246e+01 7.000000000000000666e-01
2 884 5.233720734274272246e+01 4.000000000000000222e-01
2 836 5.233720734274272246e+01 9.500000000000000666e-01
2 932 5.233720734274272246e+01 4.500000000000000111e-01
3 852 5.233720734274272246e+01 2.000000000000000111e-01
3 892 5.233720734274272246e+01 9.000000000000000222e-01
3 892 5.233720734274272246e+01 2.500000000000000000e-01
3 908 5.233720734274272246e+01 1.000000000000000056e-01
3 972 5.233720734274272246e+01 6.000000000000000888e-01
4 988 5.233720734274272246e+01 9.000000000000000222e-01
4 900 5.233720734274272246e+01 2.500000000000000000e-01
4 844 5.233720734274272246e+01 8.000000000000000444e-01
4 956 5.233720734274272246e+01 5.500000000000000444e-01
4 836 5.233720734274272246e+01 4.000000000000000222e-01
4 972 5.233720734274272246e+01 6.500000000000000222e-01
4 844 5.233720734274272246e+01 3.500000000000000333e-01
4 860 5.233720734274272246e+01 2.000000000000000111e-01
5 892 5.233720734274272246e+01 6.000000000000000888e-01
5 980 5.233720734274272246e+01 1.500000000000000222e-01
5 844 5.233720734274272246e+01 7.500000000000000000e-01
5 884 5.233720734274272246e+01 8.000000000000000444e-01
5 972 5.233720734274272246e+01 9.500000000000000666e-01
5 996 5.233720734274272246e+01 6.000000000000000888e-01
5 972 5.233720734274272246e+01 8.500000000000000888e-01
5 804 5.233720734274272246e+01 6.500000000000000222e-01
6 804 5.233720734274272246e+01 6.000000000000000888e-01
6 892 5.233720734274272246e+01 4.500000000000000111e-01
6 844 5.233720734274272246e+01 6.000000000000000888e-01
6 924 5.233720734274272246e+01 7.000000000000000666e-01
6 908 5.233720734274272246e+01 7.000000000000000666e-01
6 868 5.233720734274272246e+01 9.500000000000000666e-01
6 852 5.233720734274272246e+01 5.500000000000000444e-01
6 964 5.233720734274272246e+01 6.500000000000000222e-01
7 988 5.233720734274272246e+01 6.500000000000000222e-01
7 860 5.233720734274272246e+01 1.500000000000000222e-01
7 916 5.233720734274272246e+01 7.000000000000000666e-01
7 948 5.233720734274272246e+01 2.000000000000000111e-01
7 820 5.233720734274272246e+01 9.500000000000000666e-01
7 860 5.233720734274272246e+01 9.500000000000000666e-01
7 988 5.233720734274272246e+01 2.500000000000000000e-01
7 844 5.233720734274272246e+01 7.500000000000000000e-01
8 940 5.233720734274272246e+01 7.000000000000000666e-01
8 804 5.233720734274272246e+01 3.000000000000000444e-01
9 836 5.233720734274272246e+01 7.000000000000000666e-01
9 980 5.233720734274272246e+01 8.500000000000000888e-01
9 972 5.233720734274272246e+01 5.000000000000000000e-01
9 812 5.233720734274272246e+01 6.500000000000000222e-01
10 940 5.233720734274272246e+01 6.000000000000000888e-01
10 836 5.233720734274272246e+01 2.000000000000000111e-01
10 820 5.233720734274272246e+01 2.000000000000000111e-01
11 844 5.233720734274272246e+01 3.000000000000000444e-01
11 924 5.233720734274272246e+01 7.500000000000000000e-01
11 948 5.233720734274272246e+01 9.000000000000000222e-01
11 956 5.233720734274272246e+01 9.500000000000000666e-01
11 836 5.233720734274272246e+01 7.500000000000000000e-01
11 932 5.233720734274272246e+01 3.500000000000000333e-01
11 932 5.233720734274272246e+01 2.000000000000000111e-01
11 980 5.233720734274272246e+01 5.500000000000000444e-01
11 972 5.233720734274272246e+01 6.500000000000000222e-01
11 820 5.233720734274272246e+01 5.500000000000000444e-01
12 964 5.233720734274272246e+01 3.000000000000000444e-01
12 852 5.233720734274272246e+01 3.000000000000000444e-01
12 916 5.233720734274272246e+01 1.500000000000000222e-01
12 924 5.233720734274272246e+01 8.500000000000000888e-01
12 820 5.233720734274272246e+01 2.500000000000000000e-01
12 924 5.233720734274272246e+01 1.000000000000000000e+00
13 996 5.233720734274272246e+01 4.500000000000000111e-01
13 908 5.233720734274272246e+01 6.500000000000000222e-01
13 804 5.233720734274272246e+01 9.500000000000000666e-01
13 844 5.233720734274272246e+01 7.000000000000000666e-01
13 884 5.233720734274272246e+01 4.000000000000000222e-01
14 996 5.233720734274272246e+01 3.000000000000000444e-01
15 980 5.233720734274272246e+01 9.000000000000000222e-01
15 964 5.233720734274272246e+01 8.500000000000000888e-01
15 892 5.233720734274272246e+01 4.500000000000000111e-01
15 932 5.233720734274272246e+01 5.500000000000000444e-01
15 828 5.233720734274272246e+01 3.000000000000000444e-01
16 988 5.233720734274272246e+01 5.000000000000000000e-01
16 924 5.233720734274272246e+01 5.000000000000000000e-01
16 900 5.233720734274272246e+01 5.000000000000000000e-01
16 876 5.233720734274272246e+01 2.500000000000000000e-01
16 956 5.233720734274272246e+01 4.500000000000000111e-01
16 804 5.233720734274272246e+01 8.000000000000000444e-01
17 948 5.233720734274272246e+01 7.500000000000000000e-01
17 868 5.233720734274272246e+01 6.500000000000000222e-01
17 908 5.233720734274272246e+01 5.000000000000000000e-01
17 964 5.233720734274272246e+01 2.500000000000000000e-01
17 948 5.233720734274272246e+01 6.500000000000000222e-01
17 820 5.233720734274272246e+01 5.500000000000000444e-01
17 908 5.233720734274272246e+01 4.000000000000000222e-01
18 900 5.233720734274272246e+01 5.500000000000000444e-01
18 940 5.233720734274272246e+01 9.500000000000000666e-01
18 924 5.233720734274272246e+01 6.000000000000000888e-01
18 828 5.233720734274272246e+01 7.500000000000000000e-01
18 924 5.233720734274272246e+01 5.000000000000000000e-01
19 828 5.233720734274272246e+01 4.000000000000000222e-01
19 908 5.233720734274272246e+01 5.000000000000000000e-01
19 948 5.233720734274272246e+01 8.500000000000000888e-01
20 884 5.233720734274272246e+01 1.000000000000000056e-01
20 948 5.233720734274272246e+01 7.000000000000000666e-01
20 980 5.233720734274272246e+01 3.500000000000000333e-01
20 916 5.233720734274272246e+01 8.500000000000000888e-01
20 916 5.233720734274272246e+01 8.000000000000000444e-01
20 884 5.233720734274272246e+01 9.500000000000000666e-01
20 900 5.233720734274272246e+01 9.000000000000000222e-01
21 884 5.233720734274272246e+01 1.000000000000000056e-01
21 860 5.233720734274272246e+01 7.500000000000000000e-01
21 996 5.233720734274272246e+01 2.500000000000000000e-01
21 892 5.233720734274272246e+01 1.000000000000000000e+00
22 828 5.233720734274272246e+01 3.500000000000000333e-01
22 996 5.233720734274272246e+01 2.000000000000000111e-01
22 828 5.233720734274272246e+01 6.500000000000000222e-01
22 868 5.233720734274272246e+01 9.000000000000000222e-01
22 860 5.233720734274272246e+01 7.000000000000000666e-01
22 844 5.233720734274272246e+01 4.500000000000000111e-01
22 940 5.233720734274272246e+01 7.500000000000000000e-01
23 892 5.233720734274272246e+01 1.000000000000000056e-01
23 988 5.233720734274272246e+01 6.500000000000000222e-01
23 900 5.233720734274272246e+01 4.000000000000000222e-01
23 884 5.233720734274272246e+01 3.000000000000000444e-01
24 868 5.233720734274272246e+01 1.000000000000000056e-01
24 916 5.233720734274272246e+01 4.000000000000000222e-01
24 940 5.233720734274272246e+01 9.500000000000000666e-01
24 956 5.233720734274272246e+01 8.000000000000000444e-01
25 828 5.233720734274272246e+01 2.000000000000000111e-01
25 964 5.233720734274272246e+01 1.000000000000000000e+00
25 852 5.233720734274272246e+01 6.000000000000000888e-01
26 884 5.233720734274272246e+01 2.000000000000000111e-01
26 996 5.233720734274272246e+01 7.500000000000000000e-01
26 868 5.233720734274272246e+01 2.000000000000000111e-01
27 964 5.233720734274272246e+01 1.500000000000000222e-01
27 884 5.233720734274272246e+01 9.000000000000000222e-01
27 876 5.233720734274272246e+01 8.500000000000000888e-01
27 956 5.233720734274272246e+01 3.500000000000000333e-01
28 820 5.233720734274272246e+01 7.000000000000000666e-01
28 852 5.233720734274272246e+01 9.000000000000000222e-01
28 860 5.233720734274272246e+01 6.500000000000000222e-01
28 940 5.233720734274272246e+01 2.000000000000000111e-01
29 900 5.233720734274272246e+01 2.000000000000000111e-01
29 956 5.233720734274272246e+01 8.500000000000000888e-01
29 836 5.233720734274272246e+01 5.500000000000000444e-01
29 828 5.233720734274272246e+01 5.500000000000000444e-01
29 988 5.233720734274272246e+01 1.000000000000000056e-01
29 844 5.233720734274272246e+01 8.000000000000000444e-01
29 852 5.233720734274272246e+01 5.000000000000000000e-01
30 812 5.233720734274272246e+01 8.000000000000000444e-01
30 900 5.233720734274272246e+01 2.500000000000000000e-01
30 964 5.233720734274272246e+01 5.000000000000000000e-01
30 956 5.233720734274272246e+01 2.500000000000000000e-01
30 852 5.233720734274272246e+01 6.500000000000000222e-01
30 996 5.233720734274272246e+01 8.500000000000000888e-01
30 828 5.233720734274272246e+01 6.500000000000000222e-01
31 828 5.233720734274272246e+01 1.000000000000000056e-01
31 868 5.233720734274272246e+01 3.000000000000000444e-01
31 844 5.233720734274272246e+01 3.000000000000000444e-01
31 836 5.233720734274272246e+01 7.000000000000000666e-01
31 916 5.233720734274272246e+01 5.500000000000000444e-01
31 860 5.233720734274272246e+01 7.500000000000000000e-01
32 892 5.233720734274272246e+01 3.500000000000000333e-01
32 812 5.233720734274272246e+01 6.500000000000000222e-01
32 996 5.233720734274272246e+01 2.000000000000000111e-01
32 852 5.233720734274272246e+01 6.500000000000000222e-01
33 876 5.233720734274272246e+01 1.500000000000000222e-01
33 932 5.233720734274272246e+01 9.500000000000000666e-01
33 892 5.233720734274272246e+01 1.500000000000000222e-01
33 884 5.233720734274272246e+01 7.500000000000000000e-01
33 908 5.233720734274272246e+01 1.500000000000000222e-01
33 916 5.233720734274272246e+01 9.500000000000000666e-01
33 980 5.233720734274272246e+01 5.000000000000000000e-01
33 868 5.233720734274272246e+01 7.500000000000000000e-01
33 916 5.233720734274272246e+01 6.500000000000000222e-01
34 996 5.233720734274272246e+01 5.500000000000000444e-01
34 876 5.233720734274272246e+01 2.500000000000000000e-01
34 868 5.233720734274272246e+01 7.000000000000000666e-01
35 812 5.233720734274272246e+01 2.000000000000000111e-01
35 876 5.233720734274272246e+01 4.000000000000000222e-01
35 804 5.233720734274272246e+01 6.500000000000000222e-01
35 980 5.233720734274272246e+01 6.500000000000000222e-01
35 948 5.233720734274272246e+01 5.000000000000000000e-01
35 932 5.233720734274272246e+01 2.500000000000000000e-01
35 964 5.233720734274272246e+01 8.000000000000000444e-01
36 972 5.233720734274272246e+01 9.500000000000000666e-01
36 956 5.233720734274272246e+01 7.000000000000000666e-01
36 988 5.233720734274272246e+01 2.000000000000000111e-01
36 820 5.233720734274272246e+01 2.500000000000000000e-01
36 892 5.233720734274272246e+01 1.500000000000000222e-01
37 876 5.233720734274272246e+01 4.500000000000000111e-01
38 884 5.233720734274272246e+01 3.500000000000000333e-01
38 980 5.233720734274272246e+01 8.000000000000000444e-01
38 916 5.233720734274272246e+01 6.500000000000000222e-01
38 980 5.233720734274272246e+01 8.500000000000000888e-01
38 828 5.233720734274272246e+01 8.500000000000000888e-01
39 972 5.233720734274272246e+01 9.000000000000000222e-01
39 876 5.233720734274272246e+01 9.500000000000000666e-01
40 868 5.233720734274272246e+01 9.500000000000000666e-01
40 940 5.233720734274272246e+01 7.500000000000000000e-01
40 860 5.233720734274272246e+01 2.000000000000000111e-01
40 804 5.233720734274272246e+01 7.500000000000000000e-01
40 908 5.233720734274272246e+01 7.000000000000000666e-01
40 900 5.233720734274272246e+01 7.000000000000000666e-01
40 932 5.233720734274272246e+01 5.000000000000000000e-01
41 828 5.233720734274272246e+01 6.000000000000000888e-01
41 956 5.233720734274272246e+01 6.500000000000000222e-01
41 836 5.233720734274272246e+01 9.500000000000000666e-01
42 844 5.233720734274272246e+01 1.500000000000000222e-01
42 900 5.233720734274272246e+01 1.000000000000000000e+00
42 836 5.233720734274272246e+01 6.500000000000000222e-01
42 876 5.233720734274272246e+01 7.500000000000000000e-01
42 948 5.233720734274272246e+01 5.500000000000000444e-01
42 820 5.233720734274272246e+01 2.500000000000000000e-01
42 836 5.233720734274272246e+01 3.500000000000000333e-01
42 940 5.233720734274272246e+01 4.500000000000000111e-01
42 972 5.233720734274272246e+01 6.500000000000000222e-01
42 988 5.233720734274272246e+01 3.500000000000000333e-01
42 828 5.233720734274272246e+01 1.500000000000000222e-01
42 844 5.233720734274272246e+01 1.500000000000000222e-01
43 804 5.233720734274272246e+01 4.500000000000000111e-01
43 860 5.233720734274272246e+01 7.500000000000000000e-01
43 924 5.233720734274272246e+01 2.000000000000000111e-01
43 916 5.233720734274272246e+01 5.000000000000000000e-01
43 812 5.233720734274272246e+01 2.500000000000000000e-01
44 900 5.233720734274272246e+01 7.500000000000000000e-01
44 964 5.233720734274272246e+01 5.500000000000000444e-01
