# source target weight delay
2 934 2.523401068310809592e+01 1.500000000000000222e-01
2 830 2.523401068310809592e+01 4.500000000000000111e-01
2 966 2.523401068310809592e+01 1.500000000000000222e-01
2 982 2.523401068310809592e+01 5.000000000000000000e-01
2 918 2.523401068310809592e+01 5.500000000000000444e-01
2 814 2.523401068310809592e+01 4.000000000000000222e-01
3 974 2.523401068310809592e+01 4.500000000000000111e-01
3 942 2.523401068310809592e+01 9.500000000000000666e-01
3 838 2.523401068310809592e+01 3.000000000000000444e-01
3 838 2.523401068310809592e+01 8.500000000000000888e-01
3 878 2.523401068310809592e+01 1.000000000000000000e+00
3 990 2.523401068310809592e+01 4.000000000000000222e-01
4 942 2.523401068310809592e+01 8.000000000000000444e-01
4 990 2.523401068310809592e+01 5.500000000000000444e-01
4 958 2.523401068310809592e+01 2.500000000000000000e-01
4 870 2.523401068310809592e+01 4.500000000000000111e-01
4 886 2.523401068310809592e+01 7.500000000000000000e-01
4 966 2.523401068310809592e+01 8.000000000000000444e-01
4 830 2.523401068310809592e+01 3.000000000000000444e-01
4 870 2.523401068310809592e+01 5.500000000000000444e-01
4 958 2.523401068310809592e+01 4.500000000000000111e-01
4 934 2.523401068310809592e+01 3.500000000000000333e-01
5 974 2.523401068310809592e+01 2.000000000000000111e-01
5 854 2.523401068310809592e+01 8.500000000000000888e-01
5 902 2.523401068310809592e+01 3.500000000000000333e-01
5 806 2.523401068310809592e+01 9.500000000000000666e-01
5 950 2.523401068310809592e+01 5.500000000000000444e-01
5 942 2.523401068310809592e+01 8.500000000000000888e-01
5 830 2.523401068310809592e+01 8.500000000000000888e-01
5 958 2.523401068310809592e+01 2.500000000000000000e-01
5 990 2.523401068310809592e+01 6.000000000000000888e-01
5 894 2.523401068310809592e+01 1.500000000000000222e-01
5 886 2.523401068310809592e+01 1.500000000000000222e-01
5 846 2.523401068310809592e+01 4.500000000000000111e-01
5 910 2.523401068310809592e+01 5.500000000000000444e-01
5 806 2.523401068310809592e+01 6.500000000000000222e-01
5 830 2.523401068310809592e+01 6.500000000000000222e-01
5 990 2.523401068310809592e+01 6.000000000000000888e-01
6 894 2.523401068310809592e+01 7.500000000000000000e-01
6 806 2.523401068310809592e+01 2.000000000000000111e-01
6 846 2.523401068310809592e+01 1.500000000000000222e-01
6 998 2.523401068310809592e+01 1.000000000000000000e+00
6 998 2.523401068310809592e+01 5.500000000000000444e-01
6 878 2.523401068310809592e+01 8.000000000000000444e-01
6 902 2.523401068310809592e+01 8.500000000000000888e-01
7 910 2.523401068310809592e+01 3.000000000000000444e-01
7 974 2.523401068310809592e+01 3.000000000000000444e-01
7 966 2.523401068310809592e+01 4.500000000000000111e-01
7 958 2.523401068310809592e+01 9.500000000000000666e-01
7 830 2.523401068310809592e+01 7.000000000000000666e-01
7 926 2.523401068310809592e+01 3.000000000000000444e-01
7 878 2.523401068310809592e+01 1.000000000000000000e+00
7 822 2.523401068310809592e+01 3.000000000000000444e-01
7 878 2.523401068310809592e+01 7.500000000000000000e-01
8 910 2.523401068310809592e+01 3.500000000000000333e-01
8 862 2.523401068310809592e+01 9.500000000000000666e-01
8 926 2.523401068310809592e+01 7.000000000000000666e-01
8 950 2.523401068310809592e+01 9.500000000000000666e-01
8 918 2.523401068310809592e+01 9.000000000000000222e-01
8 846 2.523401068310809592e+01 7.500000000000000000e-01
8 926 2.523401068310809592e+01 2.500000000000000000e-01
8 926 2.523401068310809592e+01 4.000000000000000222e-01
8 950 2.523401068310809592e+01 2.500000000000000000e-01
8 958 2.523401068310809592e+01 2.500000000000000000e-01
8 814 2.523401068310809592e+01 4.000000000000000222e-01
8 854 2.523401068310809592e+01 6.000000000000000888e-01
9 966 2.523401068310809592e+01 1.500000000000000222e-01
9 862 2.523401068310809592e+01 8.000000000000000444e-01
9 974 2.523401068310809592e+01 6.500000000000000222e-01
9 814 2.523401068310809592e+01 8.000000000000000444e-01
9 982 2.523401068310809592e+01 7.000000000000000666e-01
9 870 2.523401068310809592e+01 3.000000000000000444e-01
9 942 2.523401068310809592e+01 9.000000000000000222e-01
9 990 2.523401068310809592e+01 6.000000000000000888e-01
10 998 2.523401068310809592e+01 6.000000000000000888e-01
10 870 2.523401068310809592e+01 4.500000000000000111e-01
10 974 2.523401068310809592e+01 5.500000000000000444e-01
10 854 2.523401068310809592e+01 5.500000000000000444e-01
10 990 2.523401068310809592e+01 7.000000000000000666e-01
10 990 2.523401068310809592e+01 5.500000000000000444e-01
10 942 2.523401068310809592e+01 9.500000000000000666e-01
11 814 2.523401068310809592e+01 8.500000000000000888e-01
11 862 2.523401068310809592e+01 7.500000000000000000e-01
11 870 2.523401068310809592e+01 8.500000000000000888e-01
11 926 2.523401068310809592e+01 8.500000000000000888e-01
11 814 2.523401068310809592e+01 4.000000000000000222e-01
11 974 2.523401068310809592e+01 1.500000000000000222e-01
11 958 2.523401068310809592e+01 2.500000000000000000e-01
11 934 2.523401068310809592e+01 3.000000000000000444e-01
12 998 2.523401068310809592e+01 5.500000000000000444e-01
12 950 2.523401068310809592e+01 1.000000000000000056e-01
12 974 2.523401068310809592e+01 6.500000000000000222e-01
12 990 2.523401068310809592e+01 5.000000000000000000e-01
12 998 2.523401068310809592e+01 3.500000000000000333e-01
13 958 2.523401068310809592e+01 4.000000000000000222e-01
13 934 2.523401068310809592e+01 7.500000000000000000e-01
13 838 2.523401068310809592e+01 1.000000000000000000e+00
13 854 2.523401068310809592e+01 8.500000000000000888e-01
13 982 2.523401068310809592e+01 2.500000000000000000e-01
13 942 2.523401068310809592e+01 2.000000000000000111e-01
13 822 2.523401068310809592e+01 4.000000000000000222e-01
14 862 2.523401068310809592e+01 2.500000000000000000e-01
14 878 2.523401068310809592e+01 9.500000000000000666e-01
14 886 2.523401068310809592e+01 4.500000000000000111e-01
15 910 2.523401068310809592e+01 1.500000000000000222e-01
15 926 2.523401068310809592e+01 5.000000000000000000e-01
15 958 2.523401068310809592e+01 1.500000000000000222e-01
15 910 2.523401068310809592e+01 8.500000000000000888e-01
15 910 2.523401068310809592e+01 6.500000000000000222e-01
15 942 2.523401068310809592e+01 7.000000000000000666e-01
15 846 2.523401068310809592e+01 6.000000000000000888e-01
15 918 2.523401068310809592e+01 4.000000000000000222e-01
16 990 2.523401068310809592e+01 7.500000000000000000e-01
16 966 2.523401068310809592e+01 5.000000000000000000e-01
16 854 2.523401068310809592e+01 6.000000000000000888e-01
16 822 2.523401068310809592e+01 7.500000000000000000e-01
16 894 2.523401068310809592e+01 4.500000000000000111e-01
17 814 2.523401068310809592e+01 8.000000000000000444e-01
17 854 2.523401068310809592e+01 9.500000000000000666e-01
17 822 2.523401068310809592e+01 8.500000000000000888e-01
17 910 2.523401068310809592e+01 1.000000000000000000e+00
17 870 2.523401068310809592e+01 2.000000000000000111e-01
17 862 2.523401068310809592e+01 9.000000000000000222e-01
17 982 2.523401068310809592e+01 2.000000000000000111e-01
18 942 2.523401068310809592e+01 7.000000000000000666e-01
18 926 2.523401068310809592e+01 4.000000000000000222e-01
18 822 2.523401068310809592e+01 1.500000000000000222e-01
18 846 2.523401068310809592e+01 1.500000000000000222e-01
18 926 2.523401068310809592e+01 2.500000000000000000e-01
18 974 2.523401068310809592e+01 5.500000000000000444e-01
18 854 2.523401068310809592e+01 7.000000000000000666e-01
18 822 2.523401068310809592e+01 9.500000000000000666e-01
19 902 2.523401068310809592e+01 6.500000000000000222e-01
19 918 2.523401068310809592e+01 9.000000000000000222e-01
19 974 2.523401068310809592e+01 5.500000000000000444e-01
19 918 2.523401068310809592e+01 6.000000000000000888e-01
20 902 2.523401068310809592e+01 3.000000000000000444e-01
20 838 2.523401068310809592e+01 2.500000000000000000e-01
20 998 2.523401068310809592e+01 8.500000000000000888e-01
21 862 2.523401068310809592e+01 2.500000000000000000e-01
21 822 2.523401068310809592e+01 7.000000000000000666e-01
21 902 2.523401068310809592e+01 1.000000000000000000e+00
21 886 2.523401068310809592e+01 2.000000000000000111e-01
21 998 2.523401068310809592e+01 2.000000000000000111e-01
21 998 2.523401068310809592e+01 7.500000000000000000e-01
21 982 2.523401068310809592e+01 3.500000000000000333e-01
22 902 2.523401068310809592e+01 4.500000000000000111e-01
22 846 2.523401068310809592e+01 8.000000000000000444e-01
22 806 2.523401068310809592e+01 8.000000000000000444e-01
22 870 2.523401068310809592e+01 6.500000000000000222e-01
22 982 2.523401068310809592e+01 3.500000000000000333e-01
22 830 2.523401068310809592e+01 8.000000000000000444e-01
22 822 2.523401068310809592e+01 3.500000000000000333e-01
23 910 2.523401068310809592e+01 1.500000000000000222e-01
23 806 2.523401068310809592e+01 5.000000000000000000e-01
23 926 2.523401068310809592e+01 4.500000000000000111e-01
23 966 2.523401068310809592e+01 2.000000000000000111e-01
23 838 2.523401068310809592e+01 4.500000000000000111e-01
23 838 2.523401068310809592e+01 3.500000000000000333e-01
23 886 2.523401068310809592e+01 3.500000000000000333e-01
24 862 2.523401068310809592e+01 9.000000000000000222e-01
24 974 2.523401068310809592e+01 9.500000000000000666e-01
24 838 2.523401068310809592e+01 9.500000000000000666e-01
24 806 2.523401068310809592e+01 5.500000000000000444e-01
24 822 2.523401068310809592e+01 8.500000000000000888e-01
25 870 2.523401068310809592e+01 4.000000000000000222e-01
25 878 2.523401068310809592e+01 1.500000000000000222e-01
25 806 2.523401068310809592e+01 5.000000000000000000e-01
25 846 2.523401068310809592e+01 8.000000000000000444e-01
25 966 2.523401068310809592e+01 3.500000000000000333e-01
25 934 2.523401068310809592e+01 5.000000000000000000e-01
26 926 2.523401068310809592e+01 6.500000000000000222e-01
26 838 2.523401068310809592e+01 7.500000000000000000e-01
26 934 2.523401068310809592e+01 8.000000000000000444e-01
26 894 2.523401068310809592e+01 4.500000000000000111e-01
26 982 2.523401068310809592e+01 9.500000000000000666e-01
26 846 2.523401068310809592e+01 4.000000000000000222e-01
27 878 2.523401068310809592e+01 1.500000000000000222e-01
27 950 2.523401068310809592e+01 6.000000000000000888e-01
27 966 2.523401068310809592e+01 1.000000000000000056e-01
27 838 2.523401068310809592e+01 4.500000000000000111e-01
27 974 2.523401068310809592e+01 5.500000000000000444e-01
27 870 2.523401068310809592e+01 8.000000000000000444e-01
27 958 2.523401068310809592e+01 2.000000000000000111e-01
27 934 2.523401068310809592e+01 1.000000000000000056e-01
28 982 2.523401068310809592e+01 8.000000000000000444e-01
28 958 2.523401068310809592e+01 8.000000000000000444e-01
28 990 2.523401068310809592e+01 7.000000000000000666e-01
28 830 2.523401068310809592e+01 5.500000000000000444e-01
28 878 2.523401068310809592e+01 6.000000000000000888e-01
28 878 2.523401068310809592e+01 7.000000000000000666e-01
28 998 2.523401068310809592e+01 8.000000000000000444e-01
28 862 2.523401068310809592e+01 8.000000000000000444e-01
28 998 2.523401068310809592e+01 7.500000000000000000e-01
28 982 2.523401068310809592e+01 7.500000000000000000e-01
28 934 2.523401068310809592e+01 3.000000000000000444e-01
29 846 2.523401068310809592e+01 6.500000000000000222e-01
29 918 2.523401068310809592e+01 7.000000000000000666e-01
29 870 2.523401068310809592e+01 1.000000000000000056e-01
29 886 2.523401068310809592e+01 3.000000000000000444e-01
29 942 2.523401068310809592e+01 9.500000000000000666e-01
29 958 2.523401068310809592e+01 4.000000000000000222e-01
29 830 2.523401068310809592e+01 2.500000000000000000e-01
29 830 2.523401068310809592e+01 2.500000000000000000e-01
29 958 2.523401068310809592e+01 5.000000000000000000e-01
29 998 2.523401068310809592e+01 8.000000000000000444e-01
29 862 2.523401068310809592e+01 6.000000000000000888e-01
29 918 2.523401068310809592e+01 6.000000000000000888e-01
30 862 2.523401068310809592e+01 5.000000000000000000e-01
30 926 2.523401068310809592e+01 6.000000000000000888e-01
